brand,model,OS,RAM,approx_price_EUR,battery_removable,battery_type,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb
Acer,Iconia Talk S,Android,2,170.0,False,Li-Ion,3400,4,1.3,13,2,32
Acer,Liquid Z6 Plus,Android,3,250.0,True,Li-Po,4080,8,1.3,13,5,32
Acer,Liquid Z6,Android,1,120.0,True,Li-Ion,2000,4,1.25,8,2,8
Acer,Iconia Tab 10 A3-A40,Android,2,230.0,False,Li-Ion,,4,1.3,5,2,64
Acer,Liquid X2,Android,3,230.0,True,Li-Po,4020,8,1.3,13,13,32
Acer,Liquid Zest Plus,Android,2,200.0,False,Li-Ion,5000,4,1.3,13,5,16
Acer,Liquid Zest,Android,1,110.0,True,Li-Ion,2000,4,1.3,8,5,8
Acer,Liquid Jade Primo,Windows,3,220.0,False,Li-Po,2870,6,1.4,21,8,32
Acer,Liquid Z330,Android,1,110.0,True,Li-Ion,2000,4,1.1,5,5,8
Acer,Liquid Z320,Android,1,90.0,True,Li-Po,2000,4,1.0,5,2,8
Acer,Liquid Z630,Android,1,200.0,True,Li-Ion,4000,4,1.3,8,8,8
Acer,Liquid Z530,Android,1,150.0,True,Li-Ion,2420,4,1.3,8,8,8
Acer,Iconia Tab A3-A20,Android,1,190.0,False,Li-Po,5910,4,1.3,5,2,16
Acer,Iconia Tab A3-A20FHD,Android,2,230.0,False,Li-Po,5910,4,1.5,5,2,32
Acer,Liquid Z520,Android,1,130.0,True,Li-Po,2000,4,1.3,8,2,8
Acer,Liquid Z220,Android,1,90.0,True,Li-Ion,1300,2,1.2,5,2,8
Acer,Liquid Z410,Android,1,130.0,True,Li-Po,2000,4,1.3,5,2,8
Acer,Liquid Jade S,Android,2,200.0,False,Li-Ion,2300,8,1.5,13,5,16
Acer,Liquid Z500,Android,1,150.0,False,Li-Ion,2000,4,1.3,8,2,4
Acer,Liquid X1,Android,2,260.0,True,Li-Ion,2700,8,1.7,13,2,16
